t vw vv vT
8.800086975097656250e+01 1.174743869341909885e-03 9.999993443489074707e-01 1.000000000000000000e+00
3.424894332885742188e+01 4.290020093321800232e-03 9.999907612800598145e-01 9.999999403953552246e-01
3.329529571533203125e+01 4.175803158432245255e-03 9.999912977218627930e-01 1.000000000000000000e+00
3.213193893432617188e+01 4.205848556011915207e-03 9.999911785125732422e-01 1.000000000000000000e+00
2.826470565795898438e+01 4.381917417049407959e-03 9.999904632568359375e-01 1.000000000000000000e+00
2.743176078796386719e+01 4.390580113977193832e-03 9.999904036521911621e-01 1.000000000000000000e+00
2.516368293762207031e+01 4.414596129208803177e-03 9.999902844429016113e-01 1.000000000000000000e+00
2.404446601867675781e+01 4.454650450497865677e-03 9.999900460243225098e-01 9.999999403953552246e-01
2.334122657775878906e+01 4.576833453029394150e-03 9.999895691871643066e-01 1.000000000000000000e+00
2.316392326354980469e+01 4.640098661184310913e-03 9.999892115592956543e-01 9.999999403953552246e-01
2.138066291809082031e+01 4.478335846215486526e-03 9.999900460243225098e-01 1.000000000000000000e+00
2.110061454772949219e+01 5.052149761468172073e-03 9.999870657920837402e-01 9.999998211860656738e-01
1.980392265319824219e+01 4.838553257286548615e-03 9.999881982803344727e-01 9.999998807907104492e-01
1.900508880615234375e+01 4.707288928329944611e-03 9.999889135360717773e-01 1.000000000000000000e+00
1.841557693481445312e+01 4.847216885536909103e-03 9.999882578849792480e-01 1.000000000000000000e+00
1.757617568969726562e+01 5.194411147385835648e-03 9.999865889549255371e-01 1.000000000000000000e+00
1.716919898986816406e+01 4.965987056493759155e-03 9.999877214431762695e-01 1.000000000000000000e+00
1.696261024475097656e+01 4.916402511298656464e-03 9.999879002571105957e-01 1.000000000000000000e+00
1.627622413635253906e+01 4.888299386948347092e-03 9.999880790710449219e-01 1.000000000000000000e+00
1.544515037536621094e+01 5.097107496112585068e-03 9.999868273735046387e-01 9.999998211860656738e-01
1.502414512634277344e+01 5.166784394532442093e-03 9.999865293502807617e-01 9.999998807907104492e-01
1.488101387023925781e+01 4.903599154204130173e-03 9.999880790710449219e-01 1.000000119209289551e+00
1.421352386474609375e+01 5.305324681103229523e-03 9.999858140945434570e-01 9.999998807907104492e-01
