,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,80.6107142857143,0.0,0.18035714285714285,0.0017857142857142859,0.7767857142857143,0.0732142857142857,0.0,11.591071428571428,6.001785714285714,0.7642857142857143
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
true_2,5.483870967741936,0.0,94.51612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,99.96121024049651,0.038789759503491075,0.0,0.0,0.0,0.0,0.0
true_4,8.142244022072347,0.0,0.0,0.3678724708767627,91.48988350705089,0.0,0.0,0.0,0.0,0.0
true_5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_7,2.8099234665582133,0.0,0.0,0.0,0.0,0.0,0.0,97.19007653344178,0.0,0.0
true_8,0.6354904433879888,0.0,0.2377025322596294,0.0,0.0,0.0,0.0,0.0,99.12680702435239,0.0
true_9,54.56110154905336,0.0,0.0,0.0,0.0,0.0,0.0,0.6884681583476765,0.0,44.75043029259897
