ID,Dataset,Recording time,Rain,Rain state,Wind,Sea state,Name,CPA time,Ship ID,SHIPTYPE,DETAILED TYPE,Length
0001,A,282,0,No rain,2.7,2,MAERSK PACER,150,323,Special Craft,Anchor Handling Vessel,74
0002,A,300,0,No rain,8.1,4,PILOT 10,150,453,Special Craft,Pilot Vessel,11
0003,A,232,0,No rain,4.6,3,KAN TAN 302,82,281,Special Craft,Offshore Supply Ship,78
0004,A,300, - , - , - , - ,SINOGLORY,150,532,Cargo,Ore Carrier,322
0005,A,279,0,No rain,3.6,2,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0006,A,300,0,No rain,5.8,3,PILOT 20,150,457,Special Craft,Pilot Vessel,13
0007,A,221,0,No rain,5.7,3,PILOT 20,71,457,Special Craft,Pilot Vessel,13
0008,A,220,0,No rain,4,2,GRANDE ANGOLA,150,220,Cargo,Ro-Ro/Container Carrier,211
0009,A,300,0,No rain,4.3,2,FAIRCHEM COPPER,150,172,Tanker,Oil/Chemical Tanker,159
0010,A,300,0,No rain,5.6,3,GDYNIA,150,196,Cargo,Bulk Carrier,190
0011,A,230,0,No rain,6.2,3,CHEM SPARK,150,112,Tanker,Oil/Chemical Tanker,160
0012,A,220,0,No rain,2.9,2,THREE SASKIAS,150,582,Cargo,Bulk Carrier,229
0013,A,300,0,No rain,7.7,4,MSC SILVIA,150,394,Cargo,Container Ship,300
0014,A,300,0,No rain,10,5,IVORY GULL,150,268,Cargo,Bulk Carrier,177
0015,A,300,0,No rain,2,1,FEDRA.GR,150,176,Cargo,Bulk Carrier,180
0016,A,272,0,No rain,4.9,3,LABRADOR,150,289,Cargo,Bulk Carrier,185
0017,A,300,0,No rain,2,1,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0018,A,216,0,No rain,3.9,2,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0019,A,300,0,No rain,7.5,4,RED I,150,478,Special Craft,Pilot Vessel,12
0020,A,300,0,No rain,5.2,3,PILOT 14,150,456,Special Craft,Pilot Vessel,12
0021,A,295,0,No rain,4.4,2,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0022,A,300,0,No rain,4.6,3,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0023,A,264,0,No rain,6.8,3,PILOT 14,150,456,Special Craft,Pilot Vessel,12
0024,A,300,0,No rain,8.1,4,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0025,A,300,0,No rain,3.8,2,PILOT 12,150,455,Special Craft,Pilot Vessel,12
0026,A,180,0,No rain,2.6,2,GH NAVIGATOR,72,201,Special Craft,Offshore Supply Ship,77
0027,A,300,0,No rain,7.3,4,REI DA GLORIA G,150,479,Fishing,Fishing Vessel,21
0028,A,180,0.4,Light,3.5,2,EAGLE SAN ANTONIO,70,157,Tanker,Crude Oil Tanker,274
0029,A,300,0,No rain,11.2,5,PILOT 12,150,455,Special Craft,Pilot Vessel,12
0030,A,282,0,No rain,5.5,3,PILOT 14,132,456,Special Craft,Pilot Vessel,12
0031,A,300,0,No rain,8.1,4,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0032,A,300,0,No rain, - , - ,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0033,A,241,0,No rain,8.9,4,PILOT 08,121,451,Special Craft,Pilot Vessel,12
0034,A,300,0,No rain,4.3,2,PILOT 14,150,456,Special Craft,Pilot Vessel,12
0035,A,294,0,No rain,4.7,3,MYKONOS SEAS,144,400,Cargo,Bulk Carrier,190
0036,A,193,0.4,Light,9.2,4,INDIGO BREEZE,94,258,Cargo,Bulk Carrier,200
0037,A,300,0,No rain,3.6,2,LOG IN POLARIS,150,298,Cargo,Container Ship,186
0038,A,270,0,No rain,5.1,3,TS INCRIVEL,130,600,Tug,Tug,27
0039,A,300,0,No rain, - , - ,BBC EMSLAND,150,52,Cargo,General Cargo,146
0040,A,300,0,No rain,6.8,3,GH NAVIGATOR,150,201,Special Craft,Offshore Supply Ship,77
0041,A,280,0,No rain, - , - ,TITUS TIDE,150,585,Special Craft,Offshore Supply Ship,82
0042,A,300,0,No rain,17.2,6,AURITA,150,44,Fishing,Fishing Vessel,22
0043,A,300,0,No rain,13.6,6,GSL MELINA,150,232,Cargo,Container Ship,228
